r : 3 	 pOfError : 0.3 	 pGB : 0.4 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 93.150000
r : 3 	 pOfError : 0.3 	 pGB : 0.4 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 94.175000
r : 3 	 pOfError : 0.3 	 pGB : 0.4 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 94.375000

r : 3 	 pOfError : 0.3 	 pGB : 0.5 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 72.900000
r : 3 	 pOfError : 0.3 	 pGB : 0.5 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 78.425000
r : 3 	 pOfError : 0.3 	 pGB : 0.5 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 81.700000
r : 3 	 pOfError : 0.3 	 pGB : 0.5 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 84.025000
r : 3 	 pOfError : 0.3 	 pGB : 0.5 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 86.700000
r : 3 	 pOfError : 0.3 	 pGB : 0.5 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 89.875000
r : 3 	 pOfError : 0.3 	 pGB : 0.5 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 91.700000
r : 3 	 pOfError : 0.3 	 pGB : 0.5 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 91.225000
r : 3 	 pOfError : 0.3 	 pGB : 0.5 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 93.300000

r : 3 	 pOfError : 0.3 	 pGB : 0.6 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 73.225000
